property	pre	post	verdict
identity.id	mii-kerndatensatzmodul-molekulares-tumorboard	mii-kerndatensatzmodul-molekulares-tumorboard	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb	https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.mtb	de.medizininformatikinitiative.kerndatensatz.mtb	unchanged
identity.name	MII_IG_MTB_DE	MII_IG_MTB_DE	unchanged
identity.version	2026.0.1	2026.0.1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC0-1.0	CC0-1.0	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik-Initiative	Medizininformatik-Initiative	unchanged
identity.status	active	active	unchanged
identity.title	MII IG Kerndatensatz-Modul Molekulares Tumorboard	MII IG Kerndatensatz-Modul Molekulares Tumorboard	unchanged
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	50	50	unchanged
artifacts.extensions	11	11	unchanged
artifacts.valuesets	29	29	unchanged
artifacts.codesystems	19	19	unchanged
artifacts.logicals	4	4	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	186	186	unchanged
artifacts.rulesets	116	150	expected-change
artifacts.invariants	2	2	unchanged
artifacts.mappings	2	2	unchanged
artifacts.other.ConceptMap	2	2	unchanged
artifacts.other.NamingSystem	3	3	unchanged
artifacts.other_total	5	5	unchanged
artifacts.total	300	300	unchanged
narrative.pages	72	92	expected-change
narrative.intro_note_pages	0	57	expected-change
narrative.translation_pages	0	21	expected-change
directives.total	1305	1305	unchanged
